1,-95.59,-14.34,0,-20.07,-14.34

3,4.69,-11.48,0,-19.99,-14.28

4,91.04,3.90,0,-19.49,-13.92

5,29.91,7.80,0,-18.88,-13.48

6,41.51,12.85,0,-18.14,-12.96

7,68.62,21.22,0,-17.18,-12.27

8,38.28,23.78,0,-16.17,-11.55

9,37.11,25.78,0,-15.13,-10.81

10,22.51,25.29,0,-14.12,-10.08

11,11.83,23.27,0,-13.18,-9.42

12,17.73,22.44,0,-12.29,-8.78

13,-2.55,18.69,0,-11.52,-8.23

14,9.20,17.27,0,-10.81,-7.72

15,-12.96,12.73,0,-10.24,-7.31

16,-19.18,7.95,0,-9.81,-7.01

17,-20.42,3.69,0,-9.51,-6.79

18,-28.58,-1.15,0,-9.35,-6.68

19,-28.48,-5.25,0,-9.31,-6.65

20,-16.80,-6.98,0,-9.32,-6.66

21,-10.24,-7.47,0,-9.34,-6.67

22,6.50,-5.37,0,-9.31,-6.65

23,13.43,-2.55,0,-9.19,-6.57

24,18.35,0.58,0,-8.99,-6.42

25,23.70,4.05,0,-8.70,-6.21

26,19.63,6.39,0,-8.35,-5.96

27,22.56,8.81,0,-7.93,-5.67

28,15.48,9.81,0,-7.50,-5.36

29,15.37,10.65,0,-7.05,-5.04

30,15.32,11.35,0,-6.59,-4.71

31,16.63,12.14,0,-6.12,-4.37

32,10.19,11.85,0,-5.67,-4.05

33,13.75,12.13,0,-5.21,-3.72

34,-3.39,9.81,0,-4.83,-3.45

35,7.84,9.51,0,-4.47,-3.19

36,5.77,8.95,0,-4.13,-2.95

37,3.99,8.21,0,-3.82,-2.73

38,9.34,8.38,0,-3.51,-2.51

39,3.64,7.67,0,-3.22,-2.30

40,9.05,7.87,0,-2.94,-2.10

41,1.69,6.95,0,-2.69,-1.92

42,3.98,6.50,0,-2.45,-1.75

43,7.01,6.58,0,-2.22,-1.58

44,-0.55,5.51,0,-2.02,-1.44

45,0.25,4.72,0,-1.85,-1.32

46,-5.64,3.17,0,-1.72,-1.23

47,-8.77,1.38,0,-1.65,-1.18

48,-18.48,-1.60,0,-1.66,-1.18

49,-14.20,-3.49,0,-1.72,-1.23

50,2.99,-2.52,0,-1.76,-1.26

