1,-375.97,-56.40,0,78.95,56.40

3,622.06,45.37,0,78.64,56.17

4,230.23,73.10,0,79.12,56.51

5,-67.07,52.08,0,78.99,56.42

6,-234.70,9.06,0,77.67,55.48

7,-42.61,1.31,0,76.15,54.39

8,-47.62,-6.03,0,74.80,53.43

9,-75.20,-16.40,0,73.76,52.69

10,72.22,-3.11,0,72.37,51.69

11,-45.74,-9.51,0,71.19,50.85

12,-285.51,-50.91,0,71.19,50.85

13,-197.08,-72.83,0,71.81,51.29

14,-93.12,-75.88,0,72.50,51.78

15,-180.12,-91.51,0,73.61,52.58

16,-120.50,-95.86,0,74.82,53.44

17,-194.01,-110.58,0,76.42,54.59

18,-291.84,-137.77,0,78.75,56.25

19,55.93,-108.72,0,80.22,57.30

20,147.14,-70.34,0,80.58,57.56

21,87.43,-46.67,0,80.28,57.34

22,62.98,-30.22,0,79.52,56.80

23,118.53,-7.91,0,78.15,55.82

24,170.08,18.79,0,77.11,55.08

25,181.49,43.19,0,76.78,54.84

26,38.86,42.54,0,76.44,54.60

27,-26.07,32.25,0,75.81,54.15

28,-48.51,20.14,0,74.86,53.47

29,-67.56,6.98,0,73.56,52.54

30,-154.37,-17.22,0,72.57,51.83

31,-187.43,-42.75,0,72.31,51.65

32,-332.08,-86.15,0,73.28,52.34

33,-325.54,-122.06,0,75.23,53.74

34,-324.49,-152.42,0,77.99,55.71

35,-358.42,-183.32,0,81.57,58.26

36,-139.27,-176.71,0,84.88,60.63

37,-130.86,-169.84,0,87.94,62.82

38,-128.64,-163.66,0,90.77,64.83

39,-148.54,-161.39,0,93.47,66.76

40,-88.27,-150.42,0,95.81,68.44

41,-43.50,-134.38,0,97.66,69.76

42,28.05,-110.02,0,98.79,70.56

43,8.46,-92.25,0,99.39,71.00

44,-32.30,-83.26,0,99.74,71.24

45,-94.20,-84.90,0,100.12,71.51

46,-93.19,-86.14,0,100.53,71.81

47,-154.46,-96.39,0,101.22,72.30

48,-154.13,-105.05,0,102.13,72.95

49,-225.95,-123.19,0,103.54,73.96

50,-232.22,-139.54,0,105.38,75.27

58,233.29,-83.62,0,105.61,75.44

59,393.81,-12.00,0,103.83,74.17

60,775.58,106.13,0,104.73,74.81

61,1063.38,249.72,0,109.63,78.31

62,1608.86,453.59,0,120.14,85.81

63,2317.43,733.17,0,138.26,98.76

64,3260.10,1112.21,1,166.64,119.03

65,4359.85,1599.35,1,208.09,148.63

66,4517.54,2037.08,1,260.96,186.40

67,4816.25,2453.96,1,324.45,231.75

68,4260.82,2724.99,1,394.27,281.62

69,805.59,2437.08,1,454.62,324.73

70,-354.67,2018.31,1,502.04,358.60

71,4249.39,2352.98,1,557.88,398.49

72,5908.52,2886.31,1,627.54,448.24

73,4780.70,3170.47,1,703.76,502.69

74,2740.61,3105.99,1,776.65,554.75

75,1613.04,2882.05,1,841.82,601.30

76,830.43,2574.30,1,897.06,640.76

77,494.99,2262.41,1,942.47,673.19

78,-183.04,1895.59,1,976.70,697.64

79,-155.29,1587.96,1,1001.63,715.45

80,-164.99,1325.02,1,1018.69,727.64

81,-171.05,1100.61,1,1029.14,735.10

82,52.84,943.44,1,1034.97,739.26

83,303.44,847.44,1,1038.00,741.43

84,354.23,773.46,1,1038.90,742.07

85,240.74,693.55,1,1037.54,741.10

86,270.25,630.06,1,1034.43,738.88

87,216.44,568.01,1,1029.64,735.46

88,153.60,505.85,1,1023.22,730.87

89,-85.34,417.17,1,1014.43,724.59

90,-342.67,303.20,1,1002.63,716.17

91,-448.74,190.41,1,987.91,705.65

92,-338.34,111.09,1,971.26,693.76

93,-32.98,89.48,1,954.34,681.67

94,128.09,95.27,1,937.92,669.95

95,149.69,103.44,1,922.06,658.62

96,-97.39,73.31,1,905.67,646.91

97,-395.92,2.93,1,887.64,634.03

98,-375.78,-53.88,1,871.40,622.43

99,-194.31,-74.94,1,856.07,611.48

100,-201.61,-93.94,1,841.58,601.13

108,-161.00,-104.00,1,827.66,591.18

109,-216.83,-120.93,1,814.49,581.78

110,-191.16,-131.46,1,801.88,572.77

111,-17.10,-114.31,1,789.05,563.60

112,27.91,-92.97,1,775.87,554.19

113,-21.59,-82.27,1,762.65,544.75

114,-61.51,-79.15,1,749.62,535.44

115,38.68,-61.48,1,736.35,525.96

116,107.19,-36.18,1,722.63,516.17

117,89.42,-17.34,1,708.67,506.19

118,134.10,5.38,1,694.64,496.17

119,202.35,34.92,1,681.73,486.95

120,270.27,70.23,1,670.06,478.61

121,209.91,91.18,1,659.21,470.87

122,51.80,85.27,1,648.41,463.15

123,5.87,73.36,1,637.50,455.36

124,41.93,68.65,1,626.67,447.62

125,24.39,62.01,1,615.88,439.91

126,-83.52,40.18,1,604.68,431.92

127,-92.57,20.27,1,593.16,423.68

128,-197.55,-12.41,1,581.64,415.46

129,-228.28,-44.79,1,571.26,408.04

130,-239.17,-73.94,1,561.91,401.36

131,-273.35,-103.86,1,553.58,395.41

132,-329.03,-137.63,1,546.36,390.26

133,-405.83,-177.86,1,540.41,386.01

134,-513.51,-228.21,1,535.99,382.85

135,-558.61,-277.77,1,533.05,380.75

136,-580.81,-323.23,1,531.44,379.60

137,-584.65,-362.44,1,530.96,379.26

138,-513.54,-385.10,1,531.12,379.37

139,-482.00,-399.64,1,531.69,379.78

140,-317.47,-387.31,1,531.90,379.93

141,-202.16,-359.54,1,531.33,379.52

142,-109.05,-321.97,1,529.72,378.37

143,-119.82,-291.65,1,527.29,376.64

144,-54.74,-256.11,1,523.92,374.23

145,-51.10,-225.36,1,519.75,371.25

146,37.24,-185.97,1,514.56,367.54

147,27.89,-153.89,1,508.58,363.27

148,156.06,-107.40,1,501.41,358.15

149,137.32,-70.69,1,493.37,352.40

150,151.40,-37.38,1,484.54,346.10

158,8352.75,1221.14,2,509.05,363.60

159,8437.79,2303.64,2,563.37,402.40

160,7447.11,3075.16,2,638.20,455.86

161,5771.49,3479.61,2,722.87,516.33

162,5292.16,3751.49,2,813.45,581.04

163,4671.00,3889.42,2,906.09,647.21

164,345.75,3357.87,2,981.99,701.42

165,-1524.50,2625.51,2,1035.86,739.90

166,1054.19,2389.81,2,1082.06,772.90

167,2461.87,2400.62,2,1127.63,805.45

168,2693.02,2444.48,2,1173.53,838.23

169,2450.41,2445.37,2,1218.53,870.38

170,2383.53,2436.09,2,1262.37,901.69

171,2590.61,2459.27,2,1305.98,932.84

172,2213.06,2422.34,2,1347.69,962.63

173,1287.65,2252.14,2,1383.79,988.42

174,914.88,2051.55,2,1413.56,1009.69

175,595.07,1833.08,2,1436.61,1026.15

176,479.84,1630.09,2,1453.52,1038.23

177,345.06,1437.34,2,1464.70,1046.21

178,485.79,1294.60,2,1471.65,1051.18

179,562.88,1184.85,2,1475.40,1053.86

180,299.17,1052.00,2,1475.35,1053.82

181,-82.49,881.82,2,1470.53,1050.38

182,211.47,781.27,2,1462.99,1045.00

183,296.91,708.61,2,1453.58,1038.27

184,331.33,652.02,2,1442.76,1030.54

185,499.97,629.21,2,1431.52,1022.52

186,509.03,611.19,2,1420.01,1014.29

